WELL_ID,ISLAND,NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD, TEMP_C,DEPTH_M,TDS_MG-L,Mg_Cl-in-MG-L
2043-01,OAHU,WAIMANALO,"21º 20' 59""",21.34972222,"157º 43' 33""",-157.7258333,30,219,138,8.6
2808-01,OAHU,LUALUALEI,"21º 28' 13""",21.47027778,"158º 08' 02""",-158.1338889,27,118.5,711,5.1
1011-01,MOLOKAI,KAHALELAUI,"21º 10' 20""",21.17222222,"157º 11' 55""",-157.1986111,33,162,4764,7.3
4600-02,MAUI,MAUI COUNTY A,"20º 46' 36""",20.77666667,"156º 00' 26""",-156.0072222,20,86.4,,29.5
4600-03,MAUI,MAUI COUNTY B,"20º 46' 33""",20.77583333,"156º 00' 32""",-156.0088889,18,96.9,,20.1
4835-01,MAUI,UKUMEHAME PUMP P,"20º 48' 47""",20.81305556,"156º 35' 58""",-156.5994444,33,42.9,921,17.7
5424-01,MAUI,SPRECKLESVILLE PUMP 4,"20º 54' 16""",20.90444444,"156º 24' 43""",-156.4119444,23,,1180,17.3
5519-02,MAUI,HAIKU,"20º 55' 50""",20.93055556,"156º 19' 58""",-156.3327778,24,68.4,140,21.6
5620-01,MAUI,MALIKO,"20º 56 '09"" ",20.93583333,"156º 20' 31""",-156.3419444,22,,,58
5640-01,MAUI,HONOKOWAI PUMP,"20º 56' 51""",20.9475,"156º 40' 10""",-156.6694444,21,,475,17.9
2317-01,HAWAII,NSF-KILAUEA,"19º 23' 44""",19.39555556,"155º 17' 21""",-155.2891667,137,1262.2,,26.1
2487-01,HAWAII,KEAUOHANA 1,"19º 24' 56""",19.41555556,"154º 57' 19""",-154.9552778,24,240.6,222,21.2
2487-02,HAWAII,KEAUOHANA 2,"19º 24' 57""",19.41583333,"154º 57' 18""",-154.955,24,240.6,304,27.1
2685-01,HAWAII ,ASHIDA 1,"19º 26' 59""",19.44972222,"154º 55' 32""",-154.9255556,,,,
2686-01,HAWAII ,GEOTHERMAL 1,"19º 26' 34""",19.44277778,"154º 56' 46""",-154.9461111,54,54.3,,
2686-02,HAWAII ,GEOTHERMAL 2,"19º 26' 33""",19.4425,"154º 56' 48""",-154.9466667,102,169.5,,
2783-01,HAWAII,MALAMA KI,"19º 27' 28""",19.45777778,"154º 53' 01""",-154.8836111,55,95.7,11700,18.1
2881-01,HAWAII,POHOIKI (ALLISON),"19º 28' 19""",19.47194444,"154º 51' 10""",-154.8527778,38,42,,18.7
2883-01,HAWAII,HGP-A,"19º 28' 31""",19.47527778,"154º 53' 44""",-154.8955556,358,1967.5,,1040
2883-X,HAWAII,LANIPUNA 1,"19º 28' 16""",19.47111111,"154 º 53' 33""",-154.8925,,,,
2883-X,HAWAII,KAPOHO STATE 1,"19º 28' 47""",19.47972222,"154º 53' 39""",-154.8941667,,2187,,
2883-X,HAWAII,KAPOHO STATE 2,"19º 28' 47""",19.47972222,"154º 53' 49""",-154.8969444,,,,
2982-01,HAWAII,GEOTHERMAL 3,"19º 29' 13""",19.48694444,"154º 54' 55""",-154.9152778,93,210.3,,57.8
3081-01,HAWAII,KAPOHO TEST,"19º 30' 24""",19.50666667,"154º 51' 59""",-154.8663889,35,101.1,131,18.8
3081-02,HAWAII,GEOTHERMAL 4,"19º 30' 39""",19.51083333,"154º 51' 19""",-154.8552778,43,88.4,,
3758-01,HAWAII,KAILUA KONA,"19º 37' 50""",19.63055556,"155º 58' 05""",-155.9680556,25,184.5,1079,17
4304-01,HAWAII,WAIAKEA,"19º 37' 50""",19.63055556,"155º 04' 18""",-155.0716667,21,6,10900,41
6048-01,HAWAII,KAWAIHAE 2,"20º 00' 29""",20.00805556,"155º 48' 48""",-155.8133333,26,129,,18.1
6147-01,HAWAII,KAWAIHAE 3,"20º 01' 32""",20.02555556,"155º 47' 11""",-155.7863889,37,313.8,728,20.1
SP-1,HAWAII,WAIWELAWELA SPRING,,,,,40,,,
SP-2,HAWAII,OPIHIKAO SPRING ,,,,,38,,,
SP-3,HAWAII,ISAAC HALE PARK SPRING,,,,,36,,,17.7
